#Observed stellar mass range: 11.8 < log10(M*/Msun) < 12
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 195
#Bestfit SF galaxies in bin: 3
#Bestfit Q galaxies in bin: 192
#Bestfit central galaxies in bin: 184
#Bestfit satellite galaxies in bin: 11
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.0223615 -0.00183288 0.0223444 0 0 0 0.0227109 -0.00106507 0.0226938 0.0236983 -0.00234305 0.0236804 0 0 0 0.000000 0.057873
0.059561 0.449203 0.302213 0.43596 0 0.128527 0 0.456222 0.340664 0.442926 0.474048 0.312625 0.460561 0.0336109 0.146287 0.0329238 0.057873 0.061248
0.062373 0.999877 0.24765 0.957079 0 0.330531 0 1.0155 0.25736 0.971458 1.04311 0.210152 0.998437 0.276735 0.837242 0.263756 0.061248 0.063498
0.064623 1.20637 0.745244 1.12798 0.0915107 0.536053 0.0915107 1.22379 0.86811 1.14304 1.23605 0.661783 1.15973 0.709891 1.14973 0.664522 0.063498 0.065748
0.066873 1.96808 1.22318 1.76695 0.189458 1.1876 0.189458 1.99587 1.34107 1.79229 1.96775 1.24799 1.77212 1.97356 1.4416 1.81767 0.065748 0.067998
0.069123 2.64728 1.2896 2.29605 0.216959 1.37768 0.216959 2.68525 1.49657 2.30064 2.57467 1.42442 2.21794 3.8619 2.62216 3.4816 0.067998 0.070248
0.071373 3.32954 2.2663 2.79236 0.243011 2.33956 0.243011 3.37777 2.07915 2.8512 3.37059 2.16103 2.86012 2.64294 3.16086 2.10462 0.070248 0.072498
0.073623 4.83884 2.66008 3.8686 0.210793 3.95764 0.190193 4.91115 2.76811 3.96458 4.97401 2.49508 3.99959 2.57774 5.98795 1.80131 0.072498 0.074748
0.075873 6.13729 3.67733 4.61197 0.341129 4.01572 0.326446 6.22785 3.79615 4.64709 6.31815 3.2889 4.77998 3.1119 6.77156 2.0052 0.074748 0.076998
0.078123 7.86197 2.86659 5.63317 0.30795 5.17647 0.290714 7.98 3.06127 5.64866 8.09227 2.87985 5.86836 4.00963 11.3548 2.0151 0.076998 0.079248
