#Observed stellar mass range: 12.2 < log10(M*/Msun) < 12.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 3
#Bestfit SF galaxies in bin: 0
#Bestfit Q galaxies in bin: 3
#Bestfit central galaxies in bin: 3
#Bestfit satellite galaxies in bin: 0
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0.000216584 0 0 0 0 0 0 0 0 0.000216584 0 0 0 0 0.000000 0.057873
0.059561 0.0572188 0.751695 0.0572188 0 0 0 0.0572188 0.726873 0.0572188 0.0572188 0.751695 0.0572188 0 0 0 0.057873 0.061248
0.062373 0.414786 1.41272 0.414388 0 0 0 0.414786 1.41272 0.414759 0.414786 1.41272 0.414388 0 0 0 0.061248 0.063498
0.064623 0.777384 1.71769 0.74918 0 0 0 0.777384 1.71769 0.763807 0.777384 1.71769 0.74918 0 0 0 0.063498 0.065748
0.066873 3.48614 2.02269 3.35976 0 0 0 3.48614 2.02269 3.38263 3.48614 2.02269 3.35976 0 0 0 0.065748 0.067998
0.069123 6.46202 2.36861 6.19044 0 0 0 6.46202 3.08728 6.21973 6.46202 2.36861 6.19044 0 0 0 0.067998 0.070248
0.071373 10.7177 0 10.0469 0 0 0 10.7177 0.513912 10.1557 10.7177 0 10.0469 0 0 0 0.070248 0.072498
0.073623 17.1627 -3.00281 16.0083 0 0 0 17.1627 -2.01328 16.0274 17.1627 -3.00281 16.0083 0 0 0 0.072498 0.074748
0.075873 40.0859 -18.7925 38.2154 0 0 0 40.0859 -18.0052 38.3755 40.0859 -18.7925 38.2154 0 0 0 0.074748 0.076998
0.078123 31.4061 -4.78013 27.6295 0 0 0 31.4061 -4.78013 27.5345 31.4061 -4.78013 27.6295 0 0 0 0.076998 0.079248
0.080373 26.2116 -0.6765 21.5057 0 0 0 26.2116 0.341805 21.977 26.2116 -0.6765 21.5057 0 0 0 0.079248 0.081498
0.082904 30.1218 0 24.4581 0 0 0 30.1218 1.58045 24.7711 30.1218 0 24.4581 0 0 0 0.081498 0.084311
0.085998 45.2244 -0.319422 35.3035 0 0 0 45.2244 -0.319422 35.4852 45.2244 -0.319422 35.3035 0 0 0 0.084311 0.087685
0.089373 53.7557 2.5841 39.1727 0 0 0 53.7557 2.5841 39.2086 53.7557 2.5841 39.1727 0 0 0 0.087685 0.091061
0.092748 48.8529 9.6247 32.5008 0 0 0 48.8529 9.62471 32.5008 48.8529 9.6247 32.5008 0 0 0 0.091061 0.094435
0.096123 51.6523 15.1622 33.4147 0 0 0 51.6523 16.1172 33.4622 51.6523 15.1622 33.4147 0 0 0 0.094435 0.097811
0.099498 58.2695 11.3795 38.4597 0 0 0 58.2695 14.7573 38.4597 58.2695 11.3795 38.4597 0 0 0 0.097811 0.101186
0.102873 72.8423 9.29033 47.9611 0 0 0 72.8423 11.6465 50.2542 72.8423 9.29033 47.9611 0 0 0 0.101186 0.104560
0.106248 107.644 3.64587 74.9775 0 0 0 107.644 8.71889 75.9872 107.644 3.64587 74.9775 0 0 0 0.104560 0.107936
0.109623 147.562 1.11955 103.496 0 0 0 147.562 13.4739 105.971 147.562 1.11955 103.496 0 0 0 0.107936 0.111310
0.112998 182.97 1.28725 126.472 0 0 0 182.97 8.21241 126.66 182.97 1.28725 126.472 0 0 0 0.111310 0.114686
0.116373 229.09 25.7211 156.842 0 0 0 229.09 29.4842 157.329 229.09 25.7211 156.842 0 0 0 0.114686 0.118060
0.119748 268.405 15.6466 191.131 0 0 0 268.405 15.8433 191.131 268.405 15.6466 191.131 0 0 0 0.118060 0.121435
0.123123 236.308 5.64864 158.135 0 0 0 236.308 1.33916 159.896 236.308 5.64864 158.135 0 0 0 0.121435 0.124811
0.126498 281.652 -1.00932 189.585 0 0 0 281.652 -1.00932 196.274 281.652 -1.00932 189.585 0 0 0 0.124811 0.128185
0.129873 304.567 -23.009 204.34 0 0 0 304.567 -12.4164 211.111 304.567 -23.009 204.34 0 0 0 0.128185 0.131561
0.133248 337.858 -1.14747 222.229 0 0 0 337.858 7.99104 228.006 337.858 -1.14747 222.229 0 0 0 0.131561 0.134935
0.137045 370.903 13.4648 241.455 0 0 0 370.903 24.5584 249.408 370.903 13.4648 241.455 0 0 0 0.134935 0.139154
0.141685 384.706 23.8776 234.476 0 0 0 384.706 38.6928 234.584 384.706 23.8776 234.476 0 0 0 0.139154 0.144217
0.146748 542.886 -19.532 349.125 0 0 0 542.886 -3.0902 345.047 542.886 -19.532 349.125 0 0 0 0.144217 0.149279
0.151810 661.765 10.7122 442.049 0 0 0 661.765 10.7122 435.925 661.765 10.7122 442.049 0 0 0 0.149279 0.154342
0.156873 789.297 -27.2464 530.184 0 0 0 789.297 -16.5615 536.102 789.297 -27.2464 530.184 0 0 0 0.154342 0.159404
0.161935 831.101 54.4785 523.694 0 0 0 831.101 73.7658 509.814 831.101 54.4785 523.694 0 0 0 0.159404 0.164467
0.166998 989.905 227.667 573.816 0 0 0 989.905 263.836 572.321 989.905 227.667 573.816 0 0 0 0.164467 0.169529
0.172060 1015.76 81.0443 495.024 0 0 0 1015.76 155.685 495.024 1015.76 81.0443 495.024 0 0 0 0.169529 0.174591
0.177123 1219.55 22.0788 652.318 0 0 0 1219.55 104.674 646.645 1219.55 22.0788 652.318 0 0 0 0.174591 0.179654
0.182185 1486.28 112.551 818.136 0 0 0 1486.28 173.302 801.626 1486.28 112.551 818.136 0 0 0 0.179654 0.184716
0.187248 1797.1 348.307 885.995 0 0 0 1797.1 367.102 867.133 1797.1 348.307 885.995 0 0 0 0.184716 0.189779
0.192310 1664.04 148.952 835.038 0 0 0 1664.04 216.975 812.798 1664.04 148.952 835.038 0 0 0 0.189779 0.194842
0.197373 1672.3 210.997 778.77 0 0 0 1672.3 252.571 736.499 1672.3 210.997 778.77 0 0 0 0.194842 0.199904
0.202435 1473.82 239.283 652.002 0 0 0 1473.82 239.283 652.002 1473.82 239.283 652.002 0 0 0 0.199904 0.204967
0.207498 1393.77 222.485 574.518 0 0 0 1393.77 267.635 587.195 1393.77 222.485 574.518 0 0 0 0.204967 0.210029
0.212560 1316.89 246.09 531.63 0 0 0 1316.89 284.918 538.199 1316.89 246.09 531.63 0 0 0 0.210029 0.215091
0.217623 1650.77 227.768 749.56 0 0 0 1650.77 252.753 713.861 1650.77 227.768 749.56 0 0 0 0.215091 0.220154
0.222685 1764.84 164 817.972 0 0 0 1764.84 207.927 798.469 1764.84 164 817.972 0 0 0 0.220154 0.225217
0.227748 1942.16 254.977 915.359 0 0 0 1942.16 304.38 925.751 1942.16 254.977 915.359 0 0 0 0.225217 0.230279
0.232810 1836.37 285.319 843.282 0 0 0 1836.37 374.583 845.22 1836.37 285.319 843.282 0 0 0 0.230279 0.235342
0.237873 1816.4 41.6901 858.152 0 0 0 1816.4 243.793 851.655 1816.4 41.6901 858.152 0 0 0 0.235342 0.240404
0.242935 1545.03 234.256 614.988 0 0 0 1545.03 331.693 615.47 1545.03 234.256 614.988 0 0 0 0.240404 0.245467
0.247998 1392.38 219.635 539.231 0 0 0 1392.38 220.058 524.263 1392.38 219.635 539.231 0 0 0 0.245467 0.250529
0.253060 1205.84 291.235 411.899 0 0 0 1205.84 371.921 408.592 1205.84 291.235 411.899 0 0 0 0.250529 0.255592
0.258123 1027.82 438.077 291.845 0 0 0 1027.82 479.672 286.564 1027.82 443.778 291.845 0 0 0 0.255592 0.260654
0.263185 1078.2 419.91 319.056 0 0 0 1078.2 501.089 315.467 1078.2 419.91 319.056 0 0 0 0.260654 0.265716
0.268248 1126.92 433.744 350.763 0 0 0 1126.92 471.112 353.716 1126.92 433.744 350.763 0 0 0 0.265716 0.270779
0.273310 1004.44 391.84 306.592 0 0 0 1004.44 436.118 306.592 1004.44 391.84 306.592 0 0 0 0.270779 0.275842
0.278373 917.63 389.467 233.57 0 0 0 917.63 451.698 233.57 917.63 389.467 233.57 0 0 0 0.275842 0.280904
0.283435 755.796 496.507 117.355 0 0 0 755.796 551.946 117.355 755.796 496.507 117.355 0 0 0 0.280904 0.285967
0.288498 603.449 456.988 74.5849 0 0 0 603.449 471.667 94.1341 603.449 456.988 74.5849 0 0 0 0.285967 0.291029
0.293560 532.5 454.981 78.8006 0 0 0 532.5 507.249 85.4065 532.5 454.981 78.8006 0 0 0 0.291029 0.296091
0.298623 448.975 443.652 37.6324 0 0 0 448.975 484.016 37.4387 448.975 443.652 37.6324 0 0 0 0.296091 0.301154
0.303685 481.189 404.86 81.6122 0 0 0 481.189 451.78 79.6487 481.189 404.86 81.6122 0 0 0 0.301154 0.306217
0.308748 418.142 389.021 86.0458 0 0 0 418.142 409.131 89.5398 418.142 389.021 86.0458 0 0 0 0.306217 0.311279
0.313810 391.996 410.639 63.579 0 0 0 391.996 425.586 63.579 391.996 410.639 63.579 0 0 0 0.311279 0.316341
0.318873 376.842 338.415 117.464 0 0 0 376.842 375.165 122.916 376.842 338.415 117.464 0 0 0 0.316341 0.321404
0.323935 418.225 287.894 173.04 0 0 0 418.225 297.616 175.02 418.225 277.235 173.04 0 0 0 0.321404 0.326466
0.328997 422.862 256.517 131.652 0 0 0 422.862 256.94 131.652 422.862 255.787 131.652 0 0 0 0.326466 0.331528
0.334060 366.033 237.04 114.829 0 0 0 366.033 248.623 114.829 366.033 232.925 114.829 0 0 0 0.331528 0.336591
0.339122 372.598 202.176 128.318 0 0 0 372.598 220.401 127.439 372.598 199.481 128.318 0 0 0 0.336591 0.341653
0.344185 376.29 169.323 145.334 0 0 0 376.29 188.733 141.452 376.29 169.323 145.334 0 0 0 0.341653 0.346716
0.349247 264.694 186.481 97.4661 0 0 0 264.694 192.518 89.3536 264.694 186.481 97.4661 0 0 0 0.346716 0.351779
0.354310 251.618 171.656 96.0828 0 0 0 251.618 184.313 96.0828 251.618 171.656 96.0828 0 0 0 0.351779 0.356841
0.359372 228.272 148.151 80.2302 0 0 0 228.272 156.119 78.5781 228.272 148.151 82.0802 0 0 0 0.356841 0.361903
0.364435 226.213 122.042 73.8982 0 0 0 226.213 128.304 76.8056 226.213 122.042 73.8982 0 0 0 0.361903 0.366966
0.369497 227.719 90.6616 105.685 0 0 0 227.719 93.403 105.099 227.719 90.6616 105.685 0 0 0 0.366966 0.372028
0.374560 223.063 88.2048 103.549 0 0 0 223.063 91.6472 100.221 223.063 88.2048 103.549 0 0 0 0.372028 0.377091
0.379622 186.866 128.46 83.6591 0 0 0 186.866 128.62 83.8561 186.866 128.46 83.6591 0 0 0 0.377091 0.382154
0.384685 174.339 120.548 83.4994 0 0 0 174.339 127.273 74.3911 174.339 120.548 83.4994 0 0 0 0.382154 0.387216
0.389747 192.309 102.05 87.1105 0 0 0 192.309 102.312 83.1441 192.309 102.05 87.1105 0 0 0 0.387216 0.392278
0.394810 234.222 68.8874 117.998 0 0 0 234.222 69.7328 116.539 234.222 68.8874 117.998 0 0 0 0.392278 0.397341
0.399872 228.122 49.4725 119.251 0 0 0 228.122 51.6221 118.899 228.122 49.4725 119.251 0 0 0 0.397341 0.402404
0.404935 238.481 47.8283 127.72 0 0 0 238.481 51.1455 125.435 238.481 47.8283 127.72 0 0 0 0.402404 0.407466
0.409997 257.557 54.3763 146.191 0 0 0 257.557 62.722 144.881 257.557 54.3763 146.191 0 0 0 0.407466 0.412529
0.415060 238.515 38.1792 138.518 0 0 0 238.515 38.9348 136.709 238.515 38.1792 138.518 0 0 0 0.412529 0.417591
0.420122 237.554 5.70061 144.112 0 0 0 237.554 21.4758 135.442 237.554 5.70061 144.112 0 0 0 0.417591 0.422653
0.425185 210.147 27.3573 114.951 0 0 0 210.147 29.6454 112.625 210.147 27.3573 114.951 0 0 0 0.422653 0.427716
0.430247 194.221 5.0612 114.858 0 0 0 194.221 12.5951 112.965 194.221 5.0612 114.858 0 0 0 0.427716 0.432779
0.435310 182.573 30.3239 104.247 0 0 0 182.573 34.305 101.915 182.573 30.3239 104.247 0 0 0 0.432779 0.437841
0.440372 195.05 15.8098 115.652 0 0 0 195.05 25.8988 111.956 195.05 15.8098 115.652 0 0 0 0.437841 0.442903
0.445435 175.158 8.47524 111.945 0 0 0 175.158 16.7302 110.472 175.158 8.47524 111.945 0 0 0 0.442903 0.447966
0.450497 158.029 6.91809 97.0208 0 0 0 158.029 11.0102 96.6669 158.029 6.91809 97.0208 0 0 0 0.447966 0.453029
0.455560 120.661 25.9166 75.5179 0 0 0 120.661 27.2794 75.5179 120.661 25.9166 75.5179 0 0 0 0.453029 0.458091
0.460622 117.666 28.7046 67.2616 0 0 0 117.666 29.2398 67.2616 117.666 28.7046 67.2616 0 0 0 0.458091 0.463154
0.465685 109.47 33.0796 63.7673 0 0 0 109.47 35.1619 63.7673 109.47 33.0796 63.7673 0 0 0 0.463154 0.468216
