#Observed stellar mass range: 8 < log10(M*/Msun) < 8.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 356937
#Bestfit SF galaxies in bin: 287423
#Bestfit Q galaxies in bin: 69514
#Bestfit central galaxies in bin: 250368
#Bestfit satellite galaxies in bin: 106569
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000000 0.057873
0.059561 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.057873 0.061248
0.062373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.061248 0.063498
0.064623 0 1.60962e-09 0 0 0 0 0 7.60788e-10 0 0 0 0 0 5.42498e-09 0 0.063498 0.065748
0.066873 0 5.12228e-12 0 0 0 0 0 6.89011e-13 0 0 0 0 0 1.74855e-11 0 0.065748 0.067998
0.069123 0 7.16233e-09 0 0 0 0 0 2.29567e-08 0 0 0 0 0 2.41396e-08 0 0.067998 0.070248
0.071373 1.58498e-07 9.45501e-08 1.58498e-07 0 0 0 8.13846e-07 4.45567e-07 8.13846e-07 0 2.8044e-10 0 5.30864e-07 1.62638e-07 5.30864e-07 0.070248 0.072498
0.073623 8.63985e-08 1.58441e-07 8.63985e-08 0 0 0 4.43635e-07 7.27102e-07 4.43635e-07 0 1.56064e-09 0 2.89379e-07 4.76388e-07 2.89379e-07 0.072498 0.074748
0.075873 5.74195e-07 5.28514e-07 5.54754e-07 6.02453e-08 4.3918e-08 6.02453e-08 2.69925e-06 2.14919e-06 2.63068e-06 2.12844e-09 5.09311e-08 2.12844e-09 1.91818e-06 1.95799e-06 1.8736e-06 0.074748 0.076998
0.078123 5.55009e-07 1.18647e-06 4.94257e-07 1.27935e-07 2.24823e-07 1.13436e-07 2.32085e-06 4.71363e-06 2.10101e-06 4.14472e-08 2.57849e-07 3.30917e-08 1.76155e-06 3.5704e-06 1.5909e-06 0.076998 0.079248
0.080373 1.27758e-06 2.78423e-06 1.04137e-06 4.42548e-07 7.57211e-07 3.66449e-07 4.73023e-06 9.04609e-06 3.94473e-06 7.51644e-07 7.44951e-07 6.34807e-07 2.51319e-06 7.4991e-06 2.07008e-06 0.079248 0.081498
0.082904 4.80642e-06 5.01918e-06 3.67563e-06 2.0068e-06 1.76676e-06 1.57808e-06 1.63822e-05 1.90886e-05 1.24968e-05 3.04458e-06 1.77436e-06 2.41504e-06 8.9456e-06 1.37507e-05 6.92741e-06 0.081498 0.084311
0.085998 1.52337e-05 1.0237e-05 1.17799e-05 6.26339e-06 5.34579e-06 4.69263e-06 5.23237e-05 3.36894e-05 4.24285e-05 9.19162e-06 4.56048e-06 6.90844e-06 2.94287e-05 2.55199e-05 2.36818e-05 0.084311 0.087685
0.089373 2.94174e-05 2.40663e-05 2.02573e-05 1.6698e-05 9.56496e-06 1.10642e-05 8.20088e-05 7.92974e-05 5.73428e-05 1.66127e-05 1.04992e-05 1.14497e-05 5.95002e-05 5.56168e-05 4.21586e-05 0.087685 0.091061
0.092748 6.24907e-05 4.31463e-05 3.96315e-05 3.6604e-05 1.78918e-05 2.34739e-05 0.000169526 0.000147855 0.000107212 3.45563e-05 2.06932e-05 2.21901e-05 0.000128118 0.000110866 8.14391e-05 0.091061 0.094435
