#Observed stellar mass range: 10.8 < log10(M*/Msun) < 11
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 23443
#Bestfit SF galaxies in bin: 9672
#Bestfit Q galaxies in bin: 13771
#Bestfit central galaxies in bin: 16934
#Bestfit satellite galaxies in bin: 6509
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.000311233 -5.55029e-05 0.000304691 0 1.84202e-05 0 0.000529826 -0.000118989 0.000520249 0.000310534 -0.000140433 0.000308814 0.000313051 0.000324621 0.000310854 0.000000 0.057873
0.059561 0.00543246 0.00520639 0.00525091 0.00294364 0.00103764 0.00288731 0.00718047 0.00614565 0.00697759 0.00666325 0.00373624 0.00649201 0.00223039 0.00658087 0.00206629 0.057873 0.061248
0.062373 0.0089198 0.00882214 0.00832867 0.00505781 0.00210944 0.00484151 0.0116322 0.0136845 0.0108828 0.00875876 0.00653914 0.00827555 0.00933875 0.0158869 0.00874109 0.061248 0.063498
0.064623 0.0227848 0.00820653 0.0208128 0.0117174 0.0017522 0.0109289 0.030558 0.015479 0.0279041 0.0227226 0.00413781 0.0210674 0.0229468 0.0223206 0.0210527 0.063498 0.065748
0.066873 0.0396305 0.00882256 0.035258 0.0213885 0.00250179 0.0193324 0.0524427 0.0138973 0.0470193 0.0430467 0.0068289 0.0386034 0.0307426 0.0177463 0.0273982 0.065748 0.067998
0.069123 0.0486055 0.021234 0.0413569 0.0261755 0.00098159 0.0221644 0.064359 0.0292629 0.0553889 0.0496734 0.0189417 0.0425889 0.0458271 0.0245058 0.0386887 0.067998 0.070248
0.071373 0.0682387 0.0274569 0.0564209 0.0348079 0.00497982 0.0292594 0.0917187 0.035332 0.0775256 0.0634632 0.026131 0.0524206 0.0806628 0.0236433 0.068061 0.070248 0.072498
0.073623 0.0912387 0.0242562 0.0717756 0.0375718 0.0123542 0.0287187 0.128931 0.0200527 0.102566 0.0773758 0.0323881 0.0591347 0.127305 0.0108617 0.104529 0.072498 0.074748
0.075873 0.115143 0.0441643 0.0840091 0.0517668 0.0207095 0.0364023 0.159655 0.0536513 0.119577 0.10063 0.0481908 0.0708584 0.1529 0.0357515 0.11411 0.074748 0.076998
0.078123 0.13811 0.0602477 0.0921134 0.0644556 0.0260091 0.0419204 0.189841 0.0775662 0.133388 0.125973 0.0614992 0.0826528 0.169688 0.053654 0.116838 0.076998 0.079248
0.080373 0.16697 0.0663806 0.106193 0.0837163 0.0324078 0.0521157 0.225442 0.0917012 0.153048 0.151895 0.0673665 0.0942209 0.206189 0.0475582 0.137644 0.079248 0.081498
0.082904 0.175218 0.0640874 0.108146 0.0864458 0.0386497 0.0477932 0.237566 0.086222 0.150645 0.158898 0.0724159 0.0924307 0.217676 0.0541054 0.137891 0.081498 0.084311
0.085998 0.254378 0.0839894 0.137094 0.127124 0.0439048 0.0663486 0.343754 0.120118 0.202122 0.231206 0.0977488 0.118337 0.314663 0.050276 0.187607 0.084311 0.087685
0.089373 0.31398 0.112882 0.149388 0.165849 0.0499274 0.0836569 0.418019 0.139572 0.217231 0.29365 0.13294 0.131283 0.36687 0.0805418 0.204993 0.087685 0.091061
0.092748 0.396757 0.142553 0.183466 0.205629 0.0662492 0.0888737 0.530995 0.188278 0.266975 0.370591 0.161318 0.157517 0.464831 0.0971417 0.247631 0.091061 0.094435
0.096123 0.471816 0.159419 0.198705 0.242005 0.0726011 0.0956309 0.633224 0.199213 0.297679 0.448701 0.182233 0.17168 0.531953 0.119394 0.259426 0.094435 0.097811
0.099498 0.543469 0.166514 0.205023 0.297026 0.0707544 0.120467 0.716556 0.253191 0.308687 0.51951 0.181993 0.175847 0.6058 0.152119 0.260691 0.097811 0.101186
0.102873 0.636116 0.218725 0.210296 0.352748 0.0884344 0.132257 0.835138 0.312443 0.339252 0.616131 0.216619 0.194161 0.68811 0.208175 0.253792 0.101186 0.104560
0.106248 0.726923 0.229943 0.233729 0.417591 0.0924163 0.147313 0.944181 0.316002 0.354605 0.720639 0.230713 0.224661 0.743272 0.252095 0.244324 0.104560 0.107936
0.109623 0.837727 0.268832 0.25647 0.488483 0.0866784 0.168886 1.08302 0.335395 0.379668 0.825335 0.254325 0.245104 0.86997 0.276215 0.262601 0.107936 0.111310
0.112998 0.960426 0.272285 0.292667 0.547042 0.0920034 0.180302 1.25076 0.333479 0.431216 0.942498 0.267087 0.28092 1.00707 0.2596 0.30501 0.111310 0.114686
0.116373 1.10029 0.274384 0.316948 0.599316 0.133002 0.17331 1.45215 0.352457 0.497783 1.07256 0.29321 0.303881 1.17243 0.29915 0.365591 0.114686 0.118060
0.119748 1.25826 0.277553 0.362936 0.676441 0.124913 0.197569 1.6669 0.37241 0.591905 1.22075 0.283796 0.336398 1.35587 0.338192 0.4285 0.118060 0.121435
0.123123 1.38053 0.338023 0.372075 0.75971 0.148498 0.217069 1.81656 0.413623 0.609339 1.34962 0.361559 0.364248 1.46096 0.367603 0.421898 0.121435 0.124811
0.126498 1.50733 0.400991 0.398862 0.82996 0.157586 0.242173 1.98308 0.493088 0.65602 1.46859 0.386866 0.396816 1.60812 0.421988 0.432815 0.124811 0.128185
0.129873 1.69925 0.405287 0.458152 0.915923 0.188036 0.281131 2.24942 0.529064 0.762473 1.64562 0.39237 0.440939 1.83879 0.457744 0.513675 0.128185 0.131561
0.133248 1.85096 0.45221 0.489424 0.987344 0.208557 0.288602 2.45752 0.560679 0.86232 1.80203 0.430322 0.475959 1.97826 0.516178 0.54284 0.131561 0.134935
0.137045 2.02274 0.456318 0.558042 1.098 0.198182 0.347078 2.67223 0.654765 0.956271 1.95482 0.411768 0.518568 2.19945 0.534566 0.666349 0.134935 0.139154
0.141685 2.31453 0.495132 0.661325 1.25484 0.183282 0.404966 3.0588 0.730919 1.0714 2.19134 0.478308 0.576991 2.63504 0.454966 0.878703 0.139154 0.144217
0.146748 2.57678 0.600117 0.720351 1.39965 0.183103 0.450251 3.40352 0.835238 1.18178 2.41214 0.612968 0.606104 3.00508 0.535664 1.02109 0.144217 0.149279
0.151810 2.8747 0.665468 0.785148 1.54104 0.180354 0.499384 3.81139 0.934466 1.29205 2.71259 0.665689 0.6585 3.29646 0.620298 1.10163 0.149279 0.154342
0.156873 3.25426 0.675728 0.931785 1.71849 0.231874 0.543088 4.3329 0.920027 1.55323 3.08427 0.709966 0.801246 3.69652 0.65328 1.25852 0.154342 0.159404
0.161935 3.59815 0.775807 1.03409 1.89976 0.275597 0.596281 4.79101 1.0762 1.69453 3.42946 0.747787 0.922452 4.03702 0.794145 1.36188 0.159404 0.164467
0.166998 3.98235 0.77827 1.16052 2.14297 0.267202 0.649728 5.27423 1.15896 1.89499 3.81431 0.787845 1.04972 4.41952 0.853047 1.47914 0.164467 0.169529
0.172060 4.42954 0.791487 1.36592 2.3865 0.294267 0.731537 5.86446 1.15995 2.16347 4.22075 0.860346 1.22523 4.97272 0.779587 1.71307 0.169529 0.174591
0.177123 4.77968 0.905196 1.45151 2.59684 0.320553 0.812084 6.31279 1.26864 2.28766 4.58996 0.897277 1.3675 5.27326 0.8978 1.78614 0.174591 0.179654
0.182185 5.1415 0.980031 1.52702 2.81281 0.383094 0.864412 6.77704 1.53824 2.44047 4.95687 1.00272 1.45411 5.62183 1.12851 1.77373 0.179654 0.184716
0.187248 5.53319 1.10438 1.67686 3.00084 0.436356 0.902446 7.31177 1.71747 2.60724 5.33669 1.12167 1.59391 6.04441 1.22456 1.88377 0.184716 0.189779
0.192310 5.86533 1.24877 1.72238 3.19718 0.453047 0.964316 7.73929 1.98985 2.7131 5.66046 1.22572 1.63644 6.39832 1.28422 1.9972 0.189779 0.194842
0.197373 6.31505 1.30859 1.84377 3.44676 0.446416 1.04308 8.32958 2.0575 2.92534 6.1014 1.27792 1.75433 6.87089 1.34744 2.19538 0.194842 0.199904
0.202435 6.72905 1.36628 1.94906 3.66109 0.477157 1.10727 8.88381 2.188 3.13791 6.48665 1.44547 1.84638 7.35969 1.56412 2.35525 0.199904 0.204967
0.207498 7.17211 1.45799 2.12007 3.98122 0.419394 1.24933 9.41322 2.42952 3.40905 6.87957 1.52843 1.96073 7.93319 1.75728 2.52169 0.204967 0.210029
0.212560 7.66334 1.65391 2.28687 4.33773 0.395996 1.41715 9.99906 2.55091 3.47618 7.32669 1.78123 2.06887 8.53916 1.9379 2.74968 0.210029 0.215091
0.217623 8.18357 1.81947 2.41006 4.59324 0.477868 1.45713 10.7052 2.77187 3.72171 7.8125 2.06758 2.15469 9.14895 1.90664 2.99624 0.215091 0.220154
0.222685 8.69107 1.91996 2.46904 4.82741 0.460449 1.4862 11.4047 3.0718 3.91228 8.23956 2.11919 2.22745 9.86573 2.02927 3.15668 0.220154 0.225217
0.227748 9.20051 2.21193 2.55982 5.12307 0.465641 1.59099 12.0643 3.2531 4.08741 8.77024 2.36161 2.27538 10.3199 2.06763 3.28606 0.225217 0.230279
0.232810 9.69589 2.41419 2.6736 5.3833 0.511734 1.61253 12.7248 3.3339 4.22629 9.29456 2.45746 2.41853 10.74 2.34122 3.32803 0.230279 0.235342
0.237873 10.252 2.48287 2.78684 5.60128 0.588751 1.58104 13.5184 3.82972 4.52071 9.89249 2.62821 2.56591 11.1873 2.48126 3.42142 0.235342 0.240404
0.242935 10.7971 2.71096 2.93929 5.84302 0.78395 1.55879 14.2766 4.0918 4.82999 10.3905 2.84036 2.64556 11.8549 2.59777 3.62365 0.240404 0.245467
0.247998 11.4457 2.85429 3.15248 6.14398 0.907913 1.58586 15.1693 4.24068 5.18001 10.979 2.91898 2.83281 12.6597 2.78766 3.86002 0.245467 0.250529
