#Observed stellar mass range: 9 < log10(M*/Msun) < 9.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.223118 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 85310
#Bestfit SF galaxies in bin: 84416
#Bestfit Q galaxies in bin: 894
#Bestfit central galaxies in bin: 54465
#Bestfit satellite galaxies in bin: 30845
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 7.82706e-09 4.97093e-08 7.82706e-09 7.90995e-09 2.48461e-08 7.90995e-09 0 0 0 0 0 0 2.16478e-08 1.41737e-07 2.16478e-08 0.000000 0.057873
0.059561 9.0281e-07 2.02052e-05 8.36504e-07 9.12371e-07 1.09051e-05 9.01871e-07 0 0.000116346 0 1.25338e-06 6.10287e-07 1.25338e-06 2.83783e-07 4.06924e-05 2.83783e-07 0.057873 0.061248
0.062373 8.39375e-06 6.79167e-05 7.09402e-06 5.47199e-06 6.43009e-05 4.86921e-06 0.000284281 0.000427645 0.000284222 7.20589e-06 1.25349e-05 6.94771e-06 1.04912e-05 0.000175581 8.42705e-06 0.061248 0.063498
0.064623 4.74508e-05 0.000123538 4.00048e-05 2.47485e-05 0.000101078 2.14562e-05 0.00219112 -6.23071e-05 0.00215645 2.32471e-05 2.97841e-05 2.12148e-05 9.01889e-05 0.000314459 7.62263e-05 0.063498 0.065748
0.066873 0.000110334 0.000197168 8.85858e-05 7.0801e-05 0.000156486 5.65832e-05 0.00384327 -0.000254766 0.00367963 4.90172e-05 8.08258e-05 4.20881e-05 0.000218606 0.00045919 0.000171239 0.065748 0.067998
0.069123 0.000260333 0.000392978 0.000198544 0.00021975 0.000312014 0.000178035 0.00409238 0.00118449 0.00373588 0.000151199 0.000158115 0.000128313 0.000453037 0.000925745 0.000331288 0.067998 0.070248
0.071373 0.000629928 0.000629091 0.000504564 0.000571058 0.000535393 0.000465733 0.00618874 0.000990859 0.00559255 0.000467081 0.000402006 0.000377724 0.000917477 0.00099404 0.000715421 0.070248 0.072498
0.073623 0.00115769 0.00097708 0.000900295 0.00107494 0.000870994 0.000848081 0.00897113 0.00362845 0.00776361 0.000954354 0.000665087 0.000773214 0.00151673 0.00180077 0.00111219 0.072498 0.074748
0.075873 0.0017594 0.00160935 0.00128755 0.00164371 0.00134033 0.00122887 0.0126829 0.00608779 0.010448 0.00143877 0.00101701 0.00106565 0.00232556 0.00262467 0.00169234 0.074748 0.076998
0.078123 0.00255051 0.00242743 0.00180559 0.00236857 0.0018089 0.00169966 0.0197299 0.00539049 0.0162708 0.00199781 0.0014346 0.00145075 0.00352643 0.00380268 0.00246106 0.076998 0.079248
