#Observed stellar mass range: 9.2 < log10(M*/Msun) < 9.4
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.160039 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 107507
#Bestfit SF galaxies in bin: 75398
#Bestfit Q galaxies in bin: 32109
#Bestfit central galaxies in bin: 67698
#Bestfit satellite galaxies in bin: 39809
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0 3.27573e-10 0 0 0 0 0 0 0 0 0 0 0 8.91105e-10 0 0.000000 0.057873
0.059561 0 2.96105e-08 0 0 0 0 0 7.51558e-08 0 0 0 0 0 5.2308e-08 0 0.057873 0.061248
0.062373 0 1.53048e-06 0 0 5.80857e-08 0 0 2.94327e-06 0 0 5.61948e-08 0 0 1.82199e-06 0 0.061248 0.063498
0.064623 4.8168e-06 4.53055e-06 4.61056e-06 2.70416e-06 2.06637e-06 2.62284e-06 9.7777e-06 1.35277e-05 9.74355e-06 7.32003e-07 1.79499e-06 7.31495e-07 1.17633e-05 1.21021e-05 1.14286e-05 0.063498 0.065748
0.066873 1.67458e-05 1.45221e-05 1.58457e-05 6.82569e-06 8.67087e-06 6.48622e-06 4.00401e-05 2.20229e-05 3.9324e-05 2.74031e-06 9.77471e-06 2.53301e-06 4.05632e-05 2.424e-05 3.88522e-05 0.065748 0.067998
0.069123 4.73687e-05 3.73143e-05 4.13811e-05 1.36518e-05 4.17599e-05 1.13176e-05 0.000126542 5.80377e-05 0.000118587 7.35451e-06 3.94603e-05 5.98857e-06 0.000115416 7.42654e-05 0.000103567 0.067998 0.070248
0.071373 0.000104606 9.44439e-05 8.66982e-05 6.39032e-05 0.000101213 5.40711e-05 0.000200184 0.000151392 0.000176821 1.87416e-05 0.000134002 1.39113e-05 0.000250625 0.000102632 0.000217958 0.070248 0.072498
0.073623 0.000203987 0.000190783 0.000158422 0.000126563 0.000178616 0.000100703 0.000385791 0.000300141 0.000321498 4.81807e-05 0.000224055 3.39899e-05 0.000468945 0.000187292 0.000393142 0.072498 0.074748
0.075873 0.000285705 0.000246112 0.000212486 0.000178857 0.000191427 0.000132592 0.000536605 0.000446129 0.000421696 9.43916e-05 0.000227626 6.60315e-05 0.000611047 0.000364467 0.000480398 0.074748 0.076998
0.078123 0.000454001 0.000333016 0.000327001 0.000276237 0.000233307 0.000201921 0.000871425 0.00063937 0.000634429 0.000226115 0.000239182 0.000165774 0.000841537 0.000627678 0.000598679 0.076998 0.079248
0.080373 0.000829619 0.000533856 0.000584995 0.000528415 0.000334992 0.000378869 0.0015369 0.00108826 0.00105512 0.000521673 0.000327379 0.000370979 0.0013533 0.00099867 0.000933018 0.079248 0.081498
0.082904 0.00116656 0.000728004 0.000759863 0.000810569 0.000457223 0.000540919 0.0020025 0.0014324 0.00131806 0.000915237 0.000508896 0.000599813 0.00159396 0.00125201 0.0010692 0.081498 0.084311
0.085998 0.00224874 0.00133042 0.00136364 0.00155084 0.0007806 0.00100572 0.00388755 0.00280543 0.00238772 0.00181847 0.000787124 0.00117741 0.00298044 0.00261904 0.00174489 0.084311 0.087685
0.089373 0.00314922 0.001793 0.00186864 0.00237794 0.00131103 0.00143259 0.00496034 0.00303184 0.00278189 0.00226602 0.00139654 0.00133714 0.00465117 0.00272619 0.00270632 0.087685 0.091061
0.092748 0.00474744 0.00242535 0.0026484 0.00360919 0.00177702 0.00205399 0.00742027 0.00404985 0.00392764 0.00353684 0.00186212 0.00200014 0.00680614 0.00387286 0.00366646 0.091061 0.094435
0.096123 0.00635829 0.00282623 0.00334767 0.00490842 0.00236905 0.00251633 0.00976287 0.00520215 0.0048073 0.00494928 0.00229609 0.00265075 0.00875441 0.0047768 0.00443424 0.094435 0.097811
