#Observed stellar mass range: 10.4 < log10(M*/Msun) < 10.6
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.244144 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 11286
#Bestfit SF galaxies in bin: 8732
#Bestfit Q galaxies in bin: 2554
#Bestfit central galaxies in bin: 9250
#Bestfit satellite galaxies in bin: 2036
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00021366 0.00012214 0.000211544 0 6.83177e-05 0 0.000944154 0.000230989 0.000935918 0.000198273 0.00013649 0.000196253 0.00028357 0.000104464 0.000283445 0.000000 0.057873
0.059561 0.00408755 0.00510614 0.00390413 0.00168056 0.00153539 0.00162565 0.0123169 0.0218231 0.0117507 0.00396644 0.00568236 0.00377061 0.00463776 0.00513533 0.00451173 0.057873 0.061248
0.062373 0.0129964 0.0110258 0.012289 0.00763117 0.00415839 0.0072996 0.03134 0.0385135 0.0293372 0.0117967 0.0106705 0.0111021 0.0184471 0.0104509 0.0178209 0.061248 0.063498
0.064623 0.0303206 0.0197491 0.027886 0.0207249 0.00909399 0.0193959 0.0631276 0.0571949 0.0576826 0.0287437 0.0193922 0.0263542 0.0374846 0.0216414 0.0352995 0.063498 0.065748
0.066873 0.0458907 0.0262699 0.0398887 0.026151 0.0185419 0.0228526 0.11338 0.0547596 0.100361 0.0423942 0.0259033 0.0366303 0.0617761 0.0233018 0.0557326 0.065748 0.067998
0.069123 0.0624497 0.0410387 0.0525581 0.0337687 0.030055 0.0287987 0.160508 0.0760768 0.13938 0.0580915 0.0425568 0.04869 0.08225 0.035415 0.0723296 0.067998 0.070248
0.071373 0.0992721 0.0535623 0.0816934 0.0541333 0.0435414 0.0428373 0.253599 0.106431 0.218654 0.0965819 0.053453 0.0796712 0.111494 0.0619812 0.0913533 0.070248 0.072498
0.073623 0.139781 0.0652201 0.110584 0.0741325 0.0499635 0.0549195 0.364232 0.0812666 0.298349 0.138032 0.0569038 0.108516 0.147727 0.0889448 0.113078 0.072498 0.074748
0.075873 0.185944 0.052296 0.131344 0.0969804 0.0539364 0.0654695 0.490106 0.0834752 0.379583 0.180768 0.0568732 0.134466 0.209459 0.0644294 0.154789 0.074748 0.076998
0.078123 0.227627 0.0729123 0.154462 0.13312 0.0720398 0.0885503 0.550741 0.0927154 0.406015 0.21592 0.0819533 0.149188 0.280811 0.0682541 0.201568 0.076998 0.079248
0.080373 0.253216 0.0985495 0.162178 0.160092 0.0801977 0.0980477 0.571604 0.174934 0.380945 0.246731 0.108849 0.156562 0.282679 0.096944 0.185658 0.079248 0.081498
0.082904 0.256795 0.106137 0.153121 0.161986 0.0849259 0.0934628 0.58094 0.169378 0.36611 0.249882 0.108116 0.145996 0.288198 0.105364 0.178472 0.081498 0.084311
0.085998 0.366862 0.133585 0.202896 0.224823 0.122048 0.116953 0.852485 0.208576 0.506335 0.358418 0.133116 0.19328 0.405225 0.139921 0.232537 0.084311 0.087685
0.089373 0.440881 0.161172 0.217635 0.267328 0.140614 0.127331 1.03425 0.233923 0.56689 0.429105 0.154484 0.206765 0.494378 0.161247 0.272055 0.087685 0.091061
0.092748 0.558502 0.175419 0.255601 0.329139 0.167282 0.1436 1.34268 0.291489 0.715156 0.542089 0.171843 0.248497 0.633065 0.186797 0.313197 0.091061 0.094435
0.096123 0.712742 0.183656 0.316225 0.418487 0.177858 0.168478 1.71879 0.232136 0.910165 0.679629 0.178675 0.296151 0.863184 0.213044 0.396746 0.094435 0.097811
0.099498 0.856101 0.254805 0.357734 0.535568 0.159664 0.215795 1.95199 0.486747 0.946942 0.806857 0.245508 0.330162 1.07983 0.203653 0.495538 0.097811 0.101186
0.102873 0.997275 0.256605 0.395204 0.625238 0.197699 0.242504 2.26925 0.623016 1.01796 0.967325 0.2677 0.376058 1.13335 0.288685 0.478645 0.101186 0.104560
0.106248 1.15746 0.256477 0.436738 0.720969 0.233528 0.269191 2.64979 0.710315 1.17048 1.13947 0.260897 0.427998 1.23916 0.368694 0.472571 0.104560 0.107936
0.109623 1.33123 0.292554 0.467983 0.805986 0.263447 0.268931 3.12702 0.746769 1.38397 1.3048 0.296869 0.493509 1.4513 0.420945 0.493123 0.107936 0.111310
0.112998 1.60345 0.350852 0.588893 0.926274 0.285538 0.309547 3.91868 0.490162 1.82838 1.53686 0.35366 0.570043 1.90601 0.3364 0.740665 0.111310 0.114686
0.116373 1.83762 0.385127 0.656455 1.05056 0.332671 0.329372 4.52857 0.581738 2.12272 1.74037 0.364305 0.625964 2.27947 0.491141 0.885562 0.114686 0.118060
0.119748 2.04794 0.51527 0.691133 1.1753 0.337328 0.348632 5.03143 0.717239 2.29729 1.93143 0.442412 0.653446 2.57724 0.629227 0.881719 0.118060 0.121435
0.123123 2.25263 0.551292 0.715076 1.30775 0.337431 0.388733 5.48311 0.94998 2.35182 2.16383 0.466641 0.681638 2.65602 0.737731 0.827326 0.121435 0.124811
0.126498 2.49446 0.595006 0.77117 1.44517 0.347644 0.418618 6.08195 1.20994 2.56108 2.37026 0.468232 0.725632 3.05875 0.910465 0.975249 0.124811 0.128185
0.129873 2.74863 0.701992 0.816592 1.65967 0.410141 0.498363 6.47173 1.46888 2.46156 2.60293 0.572307 0.768816 3.4106 1.06468 1.04557 0.128185 0.131561
0.133248 3.02566 0.732959 0.874479 1.86721 0.458519 0.567857 6.9863 1.69638 2.59218 2.86162 0.681626 0.811153 3.77092 1.11336 1.18618 0.131561 0.134935
0.137045 3.34018 0.751857 1.03053 2.10326 0.506779 0.638864 7.56912 1.58247 2.97875 3.14235 0.72616 0.944762 4.23893 1.03617 1.43025 0.134935 0.139154
0.141685 3.82513 0.835242 1.23019 2.34384 0.584067 0.693316 8.88959 2.03894 3.62886 3.53248 0.881614 1.05496 5.1547 1.04515 1.82073 0.139154 0.144217
0.146748 4.27192 0.941239 1.34787 2.55587 0.692663 0.729442 10.139 2.44428 4.13534 3.88775 0.987226 1.11668 6.0173 1.23234 2.29207 0.144217 0.149279
0.151810 4.7867 0.952981 1.47308 2.89243 0.790421 0.847875 11.2631 2.98843 4.49664 4.33302 1.03833 1.25848 6.84789 1.42055 2.6114 0.149279 0.154342
0.156873 5.40052 1.23195 1.70427 3.24318 0.848894 0.958436 12.7764 3.47227 5.2052 4.95126 1.1638 1.52213 7.44162 1.74078 2.68439 0.154342 0.159404
0.161935 5.86751 1.66794 1.79419 3.607 1.01953 1.0559 13.5961 3.98184 5.29146 5.47489 1.35044 1.70765 7.65125 2.31274 2.47448 0.159404 0.164467
0.166998 6.38299 1.85039 1.93963 4.09731 1.1335 1.26873 14.1976 4.70807 5.26294 5.97069 1.62077 1.81317 8.25618 2.3547 2.6308 0.164467 0.169529
0.172060 6.98431 1.92248 2.13117 4.53972 1.31298 1.36398 15.3422 4.63068 5.53842 6.54936 1.88981 1.93756 8.96038 2.79043 2.69709 0.169529 0.174591
0.177123 7.63139 2.19646 2.39497 5.0612 1.43383 1.56039 16.4187 5.01739 5.72424 7.15962 2.0238 2.21084 9.77471 2.94503 2.8556 0.174591 0.179654
0.182185 8.33222 2.14598 2.69301 5.6406 1.49367 1.83598 17.5347 5.2509 6.24741 7.78927 2.16324 2.52548 10.799 2.95533 3.2917 0.179654 0.184716
