#Observed stellar mass range: 10.8 < log10(M*/Msun) < 11
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.223118 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 17334
#Bestfit SF galaxies in bin: 8830
#Bestfit Q galaxies in bin: 8504
#Bestfit central galaxies in bin: 13467
#Bestfit satellite galaxies in bin: 3867
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.000425904 0.000278757 0.000416751 0.000379406 -3.15187e-05 0.000379406 0.000474185 0.000760671 0.000465947 0.000548193 0.000163573 0.000539018 2.70813e-08 0.00085113 -6.47519e-09 0.000000 0.057873
0.059561 0.00795703 0.00761039 0.00762162 0.00270493 0.00158019 0.00263942 0.0134105 0.0135514 0.0128481 0.00862534 0.00835849 0.00825345 0.00562959 0.00812244 0.00538958 0.057873 0.061248
0.062373 0.0134478 0.0140202 0.0125823 0.0041474 0.00373751 0.00394637 0.0231047 0.0253554 0.0215638 0.014561 0.0130262 0.0136883 0.00957104 0.0118981 0.00887504 0.061248 0.063498
0.064623 0.0343336 0.0273426 0.0314418 0.0103587 0.00503974 0.00957645 0.0592275 0.0362019 0.0546481 0.0379589 0.0268153 0.035 0.0217081 0.0257383 0.0191413 0.063498 0.065748
0.066873 0.0600727 0.0309217 0.0527354 0.00972509 0.0170648 0.00817959 0.11235 0.0418165 0.100766 0.0601783 0.0268352 0.0529232 0.0597049 0.040518 0.0524619 0.065748 0.067998
0.069123 0.0781168 0.0449067 0.0663322 0.0145435 0.0175265 0.0118073 0.144127 0.0669506 0.124333 0.0767076 0.041553 0.0649113 0.0830247 0.0462331 0.0707024 0.067998 0.070248
0.071373 0.11111 0.058091 0.0912672 0.0220425 0.030378 0.0169065 0.203593 0.0896183 0.169555 0.110886 0.0566147 0.091857 0.111892 0.0715545 0.0901647 0.070248 0.072498
0.073623 0.151272 0.0721119 0.118441 0.0321522 0.0395377 0.0219978 0.274957 0.113868 0.220399 0.156862 0.0675245 0.12357 0.131802 0.0909965 0.100656 0.072498 0.074748
0.075873 0.197384 0.0772138 0.14686 0.0485155 0.0493561 0.0319221 0.351959 0.09725 0.268492 0.206352 0.0716275 0.154482 0.16615 0.103799 0.118018 0.074748 0.076998
0.078123 0.261343 0.0810274 0.18527 0.0686186 0.0480378 0.0430985 0.461455 0.0990817 0.342234 0.268684 0.0714631 0.193526 0.235776 0.117373 0.156449 0.076998 0.079248
0.080373 0.288471 0.102898 0.187209 0.080799 0.0497289 0.0460114 0.504105 0.145076 0.346627 0.287179 0.0989634 0.187084 0.292974 0.117369 0.190951 0.079248 0.081498
0.082904 0.282431 0.104506 0.171056 0.0841628 0.0515421 0.0440649 0.4883 0.157277 0.310184 0.275261 0.101371 0.16446 0.307399 0.131929 0.187083 0.081498 0.084311
0.085998 0.448578 0.133207 0.260328 0.121984 0.0814108 0.0582449 0.787691 0.189929 0.474261 0.451582 0.127503 0.259946 0.438116 0.164937 0.246821 0.084311 0.087685
0.089373 0.544081 0.142993 0.284995 0.149721 0.0921173 0.0642056 0.953559 0.201681 0.524892 0.556143 0.144892 0.289578 0.502074 0.171218 0.252251 0.087685 0.091061
0.092748 0.68739 0.193041 0.329919 0.174308 0.109577 0.0656908 1.22014 0.206929 0.630775 0.706271 0.174418 0.345054 0.621636 0.208356 0.302905 0.091061 0.094435
0.096123 0.813132 0.18514 0.366531 0.217061 0.11831 0.0806428 1.43205 0.258843 0.712256 0.823455 0.189696 0.365086 0.77718 0.194071 0.360828 0.094435 0.097811
0.099498 0.97144 0.22222 0.422915 0.263346 0.139133 0.0873681 1.70668 0.308951 0.808733 0.957076 0.250535 0.404413 1.02146 0.151993 0.47659 0.097811 0.101186
0.102873 1.11532 0.29081 0.429938 0.309273 0.138455 0.0947786 1.95227 0.430832 0.84978 1.12486 0.31783 0.425894 1.08211 0.259164 0.45494 0.101186 0.104560
0.106248 1.34265 0.278352 0.531925 0.359472 0.169611 0.0978382 2.36351 0.473868 1.03203 1.36029 0.300356 0.53928 1.28119 0.277714 0.52064 0.104560 0.107936
0.109623 1.58771 0.341691 0.600372 0.416124 0.192545 0.102668 2.8042 0.534686 1.17684 1.59355 0.357477 0.619761 1.56736 0.276363 0.582498 0.107936 0.111310
0.112998 1.82218 0.406982 0.662827 0.476427 0.203497 0.110836 3.21952 0.495925 1.31811 1.85924 0.382254 0.68321 1.6931 0.417204 0.583081 0.111310 0.114686
0.116373 2.01011 0.463792 0.633517 0.538388 0.216458 0.114148 3.53825 0.671961 1.33297 2.02098 0.49355 0.676823 1.97225 0.473864 0.657815 0.114686 0.118060
0.119748 2.23337 0.522327 0.675029 0.590114 0.235252 0.107706 3.93962 0.764238 1.44226 2.2152 0.533274 0.67521 2.29664 0.458142 0.801939 0.118060 0.121435
0.123123 2.54686 0.531262 0.778354 0.665637 0.239538 0.116413 4.5002 0.761562 1.62923 2.50478 0.570151 0.752421 2.69341 0.474282 0.960978 0.121435 0.124811
0.126498 2.89718 0.557138 0.962158 0.739448 0.274248 0.121694 5.13762 0.778057 2.0329 2.86071 0.612082 0.923256 3.02417 0.48431 1.09888 0.124811 0.128185
0.129873 3.18934 0.623813 1.06128 0.828203 0.29031 0.12779 5.641 0.87778 2.19195 3.12328 0.667205 0.992131 3.41942 0.526584 1.27109 0.128185 0.131561
0.133248 3.4676 0.688656 1.12898 0.938032 0.301633 0.15292 6.09414 1.09237 2.31043 3.42297 0.747272 1.08226 3.62303 0.679704 1.29466 0.131561 0.134935
0.137045 3.84557 0.737191 1.2587 1.01211 0.353948 0.161016 6.78765 1.16572 2.65882 3.81123 0.787288 1.24354 3.96516 0.672847 1.3735 0.134935 0.139154
0.141685 4.4587 0.784875 1.46441 1.10775 0.398644 0.169302 7.93811 1.1037 3.20928 4.43007 0.74944 1.4594 4.55841 0.776494 1.62579 0.139154 0.144217
0.146748 4.96004 0.948994 1.61158 1.24816 0.432899 0.217828 8.81421 1.34023 3.32153 4.98159 0.974206 1.59168 4.88498 1.00668 1.59525 0.144217 0.149279
0.151810 5.52153 1.14245 1.74875 1.36436 0.525112 0.225519 9.83807 1.63242 3.72451 5.49084 1.18018 1.69818 5.62843 1.17006 1.84513 0.149279 0.154342
0.156873 6.29581 1.33974 1.94806 1.57233 0.584154 0.267426 11.2004 1.79258 4.26553 6.23158 1.36531 1.88889 6.51947 1.23784 2.13467 0.154342 0.159404
0.161935 6.87434 1.52297 2.0366 1.75385 0.696972 0.297207 12.1911 2.12156 4.64454 6.6699 1.66479 1.86918 7.58633 1.32348 2.68069 0.159404 0.164467
0.166998 7.62732 1.73806 2.38079 1.89971 0.759335 0.278128 13.5745 2.73891 5.2654 7.29528 1.81087 2.12704 8.78366 1.558 3.21403 0.164467 0.169529
0.172060 8.49675 1.92591 2.63522 2.10402 0.838382 0.333717 15.1345 3.19225 5.87855 8.17136 1.87518 2.38987 9.62994 1.86942 3.52553 0.169529 0.174591
0.177123 9.25258 2.17119 2.85172 2.32549 0.973019 0.38732 16.4452 3.60491 6.33858 8.92363 1.99352 2.69057 10.3982 2.22932 3.67861 0.174591 0.179654
0.182185 10.0691 2.27096 3.15889 2.60843 1.06994 0.512419 17.8157 3.76298 6.8651 9.81176 2.0805 3.07572 10.9652 2.43384 3.57332 0.179654 0.184716
0.187248 10.7847 2.3179 3.43439 2.84209 1.15429 0.538909 19.0319 4.0446 7.39376 10.4345 2.37898 3.28108 12.0045 2.90365 3.92635 0.184716 0.189779
0.192310 11.3997 2.87216 3.58489 3.02698 1.31811 0.548246 20.0935 4.77347 7.49653 11.0054 2.81809 3.41164 12.773 3.64109 3.87116 0.189779 0.194842
0.197373 12.2042 3.23589 3.62438 3.28013 1.33789 0.597031 21.4703 5.20253 7.65204 11.7411 3.35052 3.43968 13.8167 3.99257 4.11503 0.194842 0.199904
0.202435 12.9909 3.27092 3.73863 3.46437 1.41148 0.641115 22.8826 5.86888 8.26093 12.3895 3.5653 3.49931 15.085 4.3111 4.67728 0.199904 0.204967
0.207498 13.7309 3.50624 3.91861 3.75671 1.50823 0.786499 24.0875 6.33079 8.35216 13.0015 3.69616 3.58032 16.2711 4.20367 5.09077 0.204967 0.210029
0.212560 14.7456 3.92254 4.16376 4.07191 1.55877 0.909122 25.8284 7.27177 8.69724 13.9969 3.7916 3.8343 17.3529 4.89225 5.2791 0.210029 0.215091
0.217623 15.7893 4.13233 4.5699 4.40845 1.65861 0.999857 27.6064 7.58297 9.33157 14.9496 3.78821 4.19508 18.7136 5.15402 5.57015 0.215091 0.220154
0.222685 16.7622 4.3781 4.60333 4.74783 1.82182 1.06232 29.2371 7.47263 9.79763 15.8481 3.95064 4.41561 19.9457 5.40426 5.76902 0.220154 0.225217
0.227748 17.6055 4.46749 4.73118 5.02068 2.01759 1.07046 30.6727 7.4336 9.95204 16.7744 4.09797 4.64085 20.4997 5.73906 5.5022 0.225217 0.230279
0.232810 18.5396 4.57498 4.87667 5.48845 2.17013 1.15832 32.0911 7.96294 10.0681 17.6498 4.65649 4.72243 21.6383 5.98058 5.95253 0.230279 0.235342
0.237873 19.4935 4.93861 5.01806 5.85943 2.50356 1.14409 33.6501 8.23081 10.4023 18.6786 4.76763 4.87297 22.3311 6.6694 5.9147 0.235342 0.240404
