#Observed stellar mass range: 11 < log10(M*/Msun) < 11.2
#Quenched threshold: Obs. SFR / Obs. SM < 1e-11 / yr
#SFHs in units of observed Msun/yr.
#True SFHs rescaled by average systematic offset of -0.223118 dex to be consistent with average observed stellar mass in bin.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit galaxies in bin: 8738
#Bestfit SF galaxies in bin: 3835
#Bestfit Q galaxies in bin: 4903
#Bestfit central galaxies in bin: 6985
#Bestfit satellite galaxies in bin: 1753
#Avg_scale_factor <SFH_all> Err+ Err- <SFH_SF> Err+ Err- <SFH_Q> Err+ Err- <SFH_Cen> Err+ Err- <SFH_Sat> Err+ Err- Scale_factor_begin Scale_factor_end
0.028936 0.00127624 0.000396303 0.00126231 0 0.000672253 0 0.00227448 0.000311859 0.00225099 0.0011449 0.00052753 0.00113365 0.00179958 -9.90394e-05 0.00179865 0.000000 0.057873
0.059561 0.0162235 0.0210746 0.0156211 0.000423517 0.0039685 0.00039153 0.0285819 0.028294 0.027642 0.0154211 0.0225477 0.0148928 0.0194207 0.0238638 0.0188011 0.057873 0.061248
0.062373 0.0451847 0.0385762 0.042757 0.00235364 0.00844479 0.00215897 0.0786861 0.0495584 0.0747631 0.0452913 0.0400506 0.0429897 0.0447601 0.0308637 0.042849 0.061248 0.063498
0.064623 0.0827908 0.0489112 0.0756122 0.0122313 0.0165782 0.0113989 0.137981 0.0625064 0.127435 0.0718586 0.0505918 0.0648294 0.126351 0.0283522 0.119806 0.063498 0.065748
0.066873 0.105097 0.0802534 0.0926996 0.0115079 0.0190801 0.00928804 0.1783 0.109689 0.159124 0.111136 0.06918 0.0983512 0.0810354 0.105604 0.0702181 0.065748 0.067998
0.069123 0.13685 0.0969367 0.114644 0.015042 0.029798 0.01103 0.232125 0.133562 0.197891 0.141264 0.0930921 0.118566 0.119261 0.108876 0.0983338 0.067998 0.070248
0.071373 0.182706 0.147779 0.14247 0.0264346 0.0380175 0.0193691 0.304938 0.183808 0.246652 0.184141 0.1405 0.144886 0.17699 0.145122 0.140739 0.070248 0.072498
0.073623 0.239516 0.161244 0.173064 0.036139 0.0555129 0.024278 0.398592 0.22969 0.307947 0.252242 0.167751 0.187481 0.18881 0.176366 0.136819 0.072498 0.074748
0.075873 0.301516 0.196192 0.203279 0.0574292 0.0701158 0.0372978 0.492435 0.288383 0.350044 0.315125 0.201312 0.214549 0.247292 0.181799 0.165673 0.074748 0.076998
0.078123 0.371997 0.250311 0.236631 0.0722673 0.0781692 0.0438435 0.606437 0.317162 0.401648 0.390517 0.244324 0.250455 0.298203 0.2082 0.195496 0.076998 0.079248
0.080373 0.466836 0.240837 0.289278 0.0949137 0.0737008 0.0521673 0.757744 0.324322 0.490978 0.477893 0.249297 0.292519 0.422781 0.259479 0.269336 0.079248 0.081498
0.082904 0.497687 0.25709 0.286975 0.10909 0.0839329 0.0548002 0.801639 0.296678 0.489048 0.500205 0.24266 0.295385 0.487657 0.303056 0.269768 0.081498 0.084311
0.085998 0.768061 0.352742 0.402513 0.179809 0.123846 0.0789632 1.22818 0.383651 0.722268 0.776271 0.324148 0.411637 0.735349 0.361767 0.378953 0.084311 0.087685
0.089373 1.02803 0.363976 0.507726 0.225493 0.140026 0.0911784 1.65576 0.464771 0.898467 1.06495 0.378285 0.536421 0.88092 0.421106 0.44176 0.087685 0.091061
0.092748 1.18976 0.503426 0.545533 0.265254 0.155877 0.0939414 1.91289 0.56989 0.941737 1.2251 0.497819 0.55334 1.04897 0.517112 0.463633 0.091061 0.094435
0.096123 1.42636 0.572078 0.583915 0.312469 0.198075 0.0949209 2.29761 0.688769 1.04701 1.4653 0.580903 0.605092 1.27119 0.622426 0.519186 0.094435 0.097811
0.099498 1.76564 0.663987 0.722838 0.355241 0.217573 0.103339 2.86882 0.795178 1.34654 1.81402 0.586979 0.753826 1.57286 0.83985 0.601743 0.097811 0.101186
0.102873 2.15923 0.665506 0.880887 0.407513 0.259978 0.108599 3.52937 0.760562 1.5573 2.24707 0.597266 0.913175 1.80921 0.874707 0.673556 0.101186 0.104560
0.106248 2.44742 0.701132 0.897959 0.466172 0.285782 0.117388 3.99709 0.895617 1.67568 2.51506 0.626866 0.933126 2.1779 1.03033 0.787342 0.104560 0.107936
0.109623 2.86317 0.947734 0.976238 0.539316 0.331555 0.11232 4.68083 1.08653 1.86016 2.96787 0.871575 1.07219 2.44601 1.41865 0.725441 0.107936 0.111310
0.112998 3.38794 0.917894 1.19953 0.619827 0.371403 0.11217 5.55309 1.1046 2.29199 3.51303 0.867123 1.2369 2.88949 1.34254 0.971644 0.111310 0.114686
0.116373 3.86719 1.04299 1.31924 0.730568 0.42036 0.142146 6.32057 1.15649 2.60391 4.00542 1.02772 1.38655 3.31639 1.34831 1.10735 0.114686 0.118060
0.119748 4.46118 1.1186 1.48839 0.804302 0.416296 0.13249 7.3215 1.27401 2.91315 4.61085 0.976335 1.5458 3.86481 1.6791 1.23776 0.118060 0.121435
0.123123 5.03738 1.21127 1.6064 0.918057 0.477749 0.137351 8.25941 1.45758 3.21566 5.23392 1.15293 1.71035 4.25426 1.70621 1.25914 0.121435 0.124811
0.126498 5.55511 1.60878 1.76087 1.0358 0.56671 0.126717 9.08999 1.69978 3.41066 5.74237 1.48616 1.79729 4.80895 1.96428 1.4854 0.124811 0.128185
0.129873 6.11504 1.8319 1.85079 1.14071 0.698699 0.102022 10.0058 1.9193 3.76478 6.22377 1.71712 1.87612 5.6818 2.21929 1.80923 0.128185 0.131561
0.133248 6.82316 2.00155 2.06701 1.28872 0.742117 0.0972785 11.1521 1.9552 4.25554 6.86439 1.84032 2.12298 6.65887 2.44151 2.07653 0.131561 0.134935
0.137045 7.54587 2.10957 2.30785 1.40131 0.864919 0.0841148 12.352 2.04151 4.74259 7.59533 2.04263 2.3774 7.34878 2.77426 2.18662 0.134935 0.139154
0.141685 8.27947 2.62186 2.35533 1.58424 0.889889 0.161053 13.5163 3.11859 4.81271 8.39235 2.60841 2.51776 7.82968 3.25744 2.0873 0.139154 0.144217
0.146748 9.72891 3.00813 2.81925 1.76303 0.982741 0.2313 15.9596 3.39283 5.73241 10.0323 3.11467 3.03407 8.51994 3.21756 2.38225 0.144217 0.149279
0.151810 10.9934 3.14798 3.02623 1.99946 0.975757 0.317586 18.0283 3.57855 6.36763 11.2644 2.99279 3.264 9.91386 3.45695 2.82487 0.149279 0.154342
0.156873 12.5329 3.95713 3.66626 2.30868 1.03214 0.333247 20.53 3.68799 7.34707 12.8794 3.71989 3.80711 11.1519 3.68634 3.31658 0.154342 0.159404
0.161935 14.1404 4.46462 4.2637 2.59532 1.2039 0.399907 23.1707 4.82392 8.31901 14.5709 4.12965 4.3767 12.4254 4.80074 3.57211 0.159404 0.164467
0.166998 15.6083 4.73824 4.54594 2.99116 1.23157 0.481557 25.4772 4.96163 9.19188 16.0481 3.99633 4.82024 13.8561 5.45048 3.96481 0.164467 0.169529
0.172060 17.2533 4.81394 5.12795 3.33529 1.38872 0.563998 28.1395 6.12853 10.1331 17.6775 4.5239 5.33906 15.5629 6.85079 4.50849 0.169529 0.174591
0.177123 18.9372 5.76997 5.59639 3.68579 1.55449 0.683958 30.8664 6.40572 11.3947 19.1571 4.8223 5.90071 18.0609 7.38449 5.352 0.174591 0.179654
0.182185 20.7934 6.0208 6.27386 4.05577 1.70743 0.714736 33.8851 6.79811 12.634 20.7908 5.34567 6.4384 20.8037 8.52109 6.85766 0.179654 0.184716
0.187248 22.4107 6.77133 6.85761 4.37754 1.98963 0.719721 36.5158 7.0596 13.7258 22.1719 6.02557 6.78587 23.3622 9.30708 7.66427 0.184716 0.189779
0.192310 24.076 7.69443 7.24252 4.9362 2.27149 0.896272 39.0467 7.61605 14.344 23.5872 6.75575 7.13735 26.0237 10.2318 8.43895 0.189779 0.194842
0.197373 25.9338 8.35734 7.70201 5.38641 2.59137 1.03433 42.0055 8.51512 15.3732 25.3103 7.53366 7.37071 28.4184 10.296 9.54725 0.194842 0.199904
0.202435 27.4647 8.57554 8.03288 5.85411 2.86371 1.09742 44.368 9.49702 15.2687 26.9548 8.36386 7.82063 29.4965 11.5964 9.49256 0.199904 0.204967
0.207498 28.9848 9.44916 8.23975 6.20455 3.32829 1.07729 46.8029 9.94461 15.8873 28.4999 8.81484 7.91449 30.9171 11.8133 9.38469 0.204967 0.210029
0.212560 30.4501 10.5943 8.30824 6.67835 3.78005 1.1067 49.0437 12.2294 16.1051 29.8783 9.94667 7.96263 32.7285 11.8009 9.61226 0.210029 0.215091
0.217623 31.8076 10.92 8.44599 7.20843 4.04927 1.18335 51.0484 12.885 16.2298 30.9309 10.361 7.98951 35.3009 11.9931 10.3969 0.215091 0.220154
0.222685 32.9426 11.9193 8.02134 7.63228 4.36703 1.10654 52.7396 13.2271 15.7959 31.8158 11.5668 7.38212 37.4324 12.591 10.8253 0.220154 0.225217
0.227748 34.6206 13.2793 7.92581 8.27939 4.64259 1.15041 55.224 15.1977 15.6748 33.3631 12.514 7.43103 39.631 13.0729 10.8506 0.225217 0.230279
0.232810 36.7464 14.6448 8.35745 9.0361 5.19744 1.23583 58.4207 16.4788 15.9325 35.4837 14.092 7.76328 41.7777 14.6179 11.5126 0.230279 0.235342
0.237873 38.0921 14.3547 8.58866 9.71243 5.60041 1.36878 60.29 16.2426 16.7919 37.0063 13.6945 8.04025 42.4187 15.6791 10.9768 0.235342 0.240404
0.242935 39.8912 14.2597 8.84111 10.5289 6.10003 1.45987 62.8577 16.0288 17.7132 38.8939 13.7331 8.44181 43.8654 15.8363 10.7216 0.240404 0.245467
0.247998 41.3786 14.2045 8.87786 11.6888 6.48747 1.75708 64.6013 16.5715 17.3805 40.1051 13.4821 8.23839 46.453 16.0819 11.365 0.245467 0.250529
0.253060 43.0262 14.5865 9.17448 12.9779 6.7808 2.12446 66.5292 18.0948 17.8942 41.7152 14.0419 8.76069 48.2498 15.4059 11.8703 0.250529 0.255592
0.258123 44.594 14.7978 9.38917 14.0547 6.84195 2.38656 68.481 18.125 18.4987 42.9937 14.2032 8.95939 50.9704 14.9932 12.5633 0.255592 0.260654
0.263185 45.768 15.1312 9.44193 15.0955 7.63808 2.54856 69.7593 18.9547 18.4023 43.9995 14.7803 8.64528 52.8146 14.9954 12.9066 0.260654 0.265716
0.268248 47.3592 15.3161 9.83652 16.4598 8.10174 2.75695 71.5279 19.1712 18.6988 45.4758 15.6193 9.02616 54.8638 16.0451 13.6561 0.265716 0.270779
0.273310 49.1101 15.9293 10.1421 17.9498 8.26074 2.92948 73.4829 20.4264 18.61 47.4116 15.9618 9.38988 55.8779 16.9801 13.3936 0.270779 0.275842
0.278373 50.2249 16.2126 10.0492 19.5797 8.3122 3.0213 74.1948 20.2157 18.6588 48.5895 15.8476 9.25966 56.7414 17.0354 12.9007 0.275842 0.280904
0.283435 51.2977 16.3631 10.2492 20.8996 8.49707 3.16993 75.0742 20.0141 19.3299 49.641 16.009 9.48648 57.8987 16.6303 13.0186 0.280904 0.285967
0.288498 52.3387 16.3194 10.1982 22.4123 9.1757 3.51729 75.7464 20.2925 19.4028 50.8011 16.4416 9.65717 58.4653 16.3451 12.755 0.285967 0.291029
0.293560 52.8332 16.8581 10.3286 24.0284 9.01494 3.96944 75.3635 20.2214 18.8622 51.5771 16.7627 9.7976 57.8381 17.4844 12.2633 0.291029 0.296091
0.298623 53.7175 17.0207 10.5382 25.8749 9.44536 4.41539 75.4953 19.5404 18.5185 52.5594 16.6618 10.1394 58.3323 19.1231 11.2945 0.296091 0.301154
0.303685 54.2199 16.9643 10.5016 27.7219 10.0412 4.78077 74.946 19.6035 18.0397 53.0772 16.5807 10.1499 58.7733 19.5074 11.2973 0.301154 0.306217
0.308748 54.4196 17.3722 10.5382 29.4662 10.1332 5.01118 73.9376 19.9081 17.8604 53.1435 16.9223 10.1224 59.5047 19.9937 12.0418 0.306217 0.311279
0.313810 54.66 17.5786 10.1102 30.6981 10.7817 4.90655 73.4023 19.983 17.7969 53.4593 17.2463 10.0068 59.4442 20.2451 11.6055 0.311279 0.316341
0.318873 54.8671 17.3135 9.96366 32.6632 10.8271 5.26737 72.2345 20.8778 17.5691 53.9153 17.6997 9.97823 58.6598 20.5202 12.0462 0.316341 0.321404
0.323935 55.2124 17.5219 10.6281 34.8033 11.4598 5.67302 71.1758 19.9683 17.9713 54.4223 16.6374 10.7059 58.3606 19.9257 11.8583 0.321404 0.326466
0.328997 55.6218 17.6229 11.3379 37.2188 11.1256 6.19851 70.0162 19.8806 17.8289 54.7498 17.0578 11.0375 59.0966 18.3576 12.8182 0.326466 0.331528
0.334060 55.2955 17.1302 11.5812 39.3839 10.0472 6.74457 67.7411 19.8024 17.2486 54.6498 16.68 11.2683 57.8685 17.3779 12.7938 0.331528 0.336591
0.339122 54.449 16.5641 11.5493 41.1702 10.285 6.72449 64.8353 19.6216 16.458 53.9673 16.3765 11.452 56.3685 15.8412 12.9836 0.336591 0.341653
0.344185 54.3117 15.5188 12.167 43.3134 9.62703 7.54663 62.9143 18.4406 16.3112 53.9039 15.7953 11.8525 55.9364 14.9274 12.9159 0.341653 0.346716
0.349247 53.7643 15.0899 12.2732 45.1753 8.20601 8.20992 60.4824 16.8081 15.9911 53.5837 15.0907 11.8922 54.4838 13.9461 13.3545 0.346716 0.351779
0.354310 52.4669 14.6325 11.9949 46.8667 7.66392 8.93155 56.8473 16.3774 14.8375 52.5037 14.7358 11.7687 52.3205 12.6353 12.1277 0.351779 0.356841
0.359372 51.6194 13.902 12.0304 48.6251 6.93605 9.76427 53.9615 15.9817 14.1773 51.7756 14.2064 11.9537 50.9973 11.3978 12.3065 0.356841 0.361903
0.364435 50.5762 12.9734 11.9608 50.0298 7.27633 10.6028 51.0036 15.6794 13.3159 50.8824 13.5312 12.0936 49.3563 11.5588 12.6709 0.361903 0.366966
0.369497 49.1673 12.3314 12.083 51.2689 7.82465 11.2961 47.5234 15.7744 12.2589 49.4973 12.8669 12.1613 47.852 11.1698 12.1334 0.366966 0.372028
0.374560 47.7187 11.7772 11.9107 52.26 8.41934 12.1618 44.1666 15.0898 11.4032 48.141 11.9032 12.1038 46.036 11.0857 11.9551 0.372028 0.377091
0.379622 46.1709 11.7407 11.5926 53.2363 8.70839 12.6359 40.6446 14.7347 10.5924 46.6593 11.7789 11.8656 44.225 11.0444 11.1229 0.377091 0.382154
0.384685 44.353 11.2116 11.2877 53.4319 8.55145 13.7392 37.2517 13.9531 9.65867 44.9194 11.4829 11.4749 42.096 11.0859 10.775 0.382154 0.387216
0.389747 42.9761 10.6439 11.1504 53.8032 8.83908 14.3724 34.5074 12.5878 8.97902 43.6693 11.062 11.3538 40.2137 9.20907 10.3532 0.387216 0.392278
0.394810 41.4337 10.1979 11.4112 54.1726 9.14719 15.0985 31.4697 11.2336 8.26254 42.1201 10.115 11.5442 38.6986 8.97928 10.1955 0.392278 0.397341
0.399872 40.0448 9.40025 11.2898 54.496 8.33437 16.3138 28.7414 10.9711 7.2001 40.8763 9.53402 11.5284 36.7313 7.68578 9.96115 0.397341 0.402404
0.404935 38.1788 9.04526 10.9613 53.9144 8.1322 16.5955 25.8708 10.4265 6.41442 39.0404 9.36225 11.191 34.7457 6.16803 9.58169 0.402404 0.407466
0.409997 36.376 8.33599 10.4612 53.1496 6.98219 16.8289 23.256 10.0545 5.63275 37.3215 8.55753 10.8407 32.6084 5.76237 8.8743 0.407466 0.412529
0.415060 34.7494 7.61626 9.98025 52.4852 7.23687 16.5955 20.8769 9.52902 4.87606 35.8022 8.36039 10.4035 30.5543 4.94507 8.27874 0.412529 0.417591
0.420122 33.0267 6.98833 9.63003 51.5029 7.53218 16.6958 18.575 8.56362 4.38855 34.1067 7.55257 10.1064 28.7233 3.8307 8.18659 0.417591 0.422653
0.425185 31.5978 5.97531 9.25909 50.5753 7.65846 16.6712 16.7541 7.71491 4.08381 32.8455 6.86658 9.89899 26.626 3.71842 7.42264 0.422653 0.427716
0.430247 30.0305 5.2679 9.25101 49.4213 7.26485 16.7231 14.8636 6.98091 3.65631 31.3922 6.2804 9.90224 24.6046 2.96267 6.69004 0.427716 0.432779
0.435310 28.4302 4.65322 8.89939 48.1527 6.76499 16.1278 13.0038 6.48828 3.0972 29.8578 5.59587 9.57691 22.7416 2.71892 5.92046 0.432779 0.437841
0.440372 26.7681 4.15894 8.66306 46.5921 6.78291 16.2086 11.2623 6.00326 2.68741 28.3082 4.9691 9.36379 20.6315 3.1314 4.94282 0.437841 0.442903
0.445435 25.0979 3.9238 8.08056 44.7237 7.50917 15.1513 9.74704 5.20197 2.2752 26.6425 4.29732 8.78149 18.9431 2.40195 4.90584 0.442903 0.447966
0.450497 23.6494 3.80237 7.80042 43.3156 6.58045 14.8884 8.26708 4.66695 1.95028 25.1621 4.16015 8.78213 17.622 2.00181 4.60309 0.447966 0.453029
0.455560 22.1661 3.38642 7.3918 41.7458 6.31341 14.0717 6.85129 4.29548 1.57146 23.722 4.07873 8.44351 15.9663 1.8698 4.02956 0.453029 0.458091
0.460622 20.4891 3.1004 6.49035 39.5146 5.81619 12.502 5.60785 3.86399 1.26261 22.1127 3.51399 7.292 14.0196 2.13959 3.31252 0.458091 0.463154
0.465685 19.1431 3.02786 6.2015 37.6017 5.51943 11.7361 4.70523 3.13475 1.13067 20.7218 3.26884 6.9651 12.8527 1.70574 3.04052 0.463154 0.468216
0.470747 17.7285 2.59073 5.79528 35.5466 5.40328 10.832 3.79162 2.62666 0.997107 19.237 3.02806 6.47273 11.7178 1.40914 2.89053 0.468216 0.473278
0.475810 16.4673 2.44781 5.31743 33.6126 5.19961 9.8726 3.05675 2.13724 0.811585 17.9446 2.80041 5.92269 10.581 1.19895 2.61038 0.473278 0.478341
0.480872 15.0419 1.95315 4.7559 31.3942 5.64964 9.11254 2.2516 1.73595 0.592206 16.4493 2.36825 5.46065 9.43403 0.844901 2.18458 0.478341 0.483404
0.485935 13.8492 1.55989 4.29026 29.3625 4.92873 7.93293 1.7151 1.45331 0.511544 15.1597 1.88659 4.86075 8.62746 0.710402 2.04212 0.483404 0.488466
0.490997 12.6211 1.32521 3.70625 27.2223 4.96523 6.6486 1.20043 1.1079 0.362395 13.8538 1.45297 4.38139 7.70914 0.713296 1.77695 0.488466 0.493528
0.496060 11.5017 1.14102 3.32122 25.2422 4.4668 6.05925 0.754262 0.730655 0.222986 12.6254 1.32302 3.69068 7.02409 0.469624 1.68876 0.493528 0.498591
0.501122 10.4582 0.992883 2.95501 23.4056 4.60541 5.44969 0.331089 0.0979725 0.116128 11.5877 1.17692 3.49123 5.95787 0.685896 1.4516 0.498591 0.503654
0.506185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.503654 0.508716
0.511247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.508716 0.513778
0.516310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.513778 0.518841
0.521372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.518841 0.523903
0.526435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.523903 0.528966
0.531497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.528966 0.534029
0.536560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.534029 0.539091
0.541622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.539091 0.544153
0.546685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.544153 0.549216
0.551747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.549216 0.554278
0.556810 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.554278 0.559341
0.561872 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.559341 0.564404
0.566935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.564404 0.569466
0.571997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.569466 0.574528
0.577060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.574528 0.579592
0.582123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.579592 0.584654
0.587185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.584654 0.589717
0.592248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.589717 0.594779
0.597310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.594779 0.599841
0.602373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.599841 0.604904
0.607435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.604904 0.609967
0.612498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.609967 0.615029
0.617560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.615029 0.620092
0.622623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.620092 0.625154
0.627685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.625154 0.630216
0.632748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.630216 0.635279
